+37938,+058380;asia/ashgabat ~~~~~~~~~~~~~~~~~~ +05:00
+47117,+051883;asia/atyrau ~~~~~~~~~~~~~~~~~~~~ +05:00
+33333,+044383;asia/baghdad ~~~~~~~~~~~~~~~~~~~ +03:00
+26028,+050550;asia/bahrain ~~~~~~~~~~~~~~~~~~~ +03:00
+40395,+049882;asia/baku ~~~~~~~~~~~~~~~~~~~~~~ +04:00
+13753,+100494;asia/bangkok ~~~~~~~~~~~~~~~~~~~ +07:00
+53333,+083750;asia/barnaul ~~~~~~~~~~~~~~~~~~~ +07:00
+33887,+035513;asia/beirut ~~~~~~~~~~~~~~~~~~~~ z_225.
+42875,+074612;asia/bishkek ~~~~~~~~~~~~~~~~~~~ +06:00
+04500,+114667;asia/brunei ~~~~~~~~~~~~~~~~~~~~ +08:00
+52050,+113467;asia/chita ~~~~~~~~~~~~~~~~~~~~~ +09:00
+48078,+114535;asia/choibalsan ~~~~~~~~~~~~~~~~ +08:00
+06934,+079843;asia/colombo ~~~~~~~~~~~~~~~~~~~ +05:30
+33513,+036292;asia/damascus ~~~~~~~~~~~~~~~~~~ +03:00
+23764,+090389;asia/dhaka ~~~~~~~~~~~~~~~~~~~~~ +06:00
-08554,+125578;asia/dili ~~~~~~~~~~~~~~~~~~~~~~ +09:00
+25263,+055297;asia/dubai ~~~~~~~~~~~~~~~~~~~~~ +04:00
+38537,+068780;asia/dushanbe ~~~~~~~~~~~~~~~~~~ +05:00
+35125,+033942;asia/famagusta ~~~~~~~~~~~~~~~~~ z_236.
+31517,+034450;asia/gaza ~~~~~~~~~~~~~~~~~~~~~~ z_237.
+31533,+035095;asia/hebron ~~~~~~~~~~~~~~~~~~~~ z_238.
+10800,+106650;asia/ho chi minh ~~~~~~~~~~~~~~~ +07:00
+22300,+114200;asia/hong kong ~~~~~~~~~~~~~~~~~ +08:00
+48004,+091641;asia/khovd ~~~~~~~~~~~~~~~~~~~~~ +07:00
+52283,+104283;asia/irkutsk ~~~~~~~~~~~~~~~~~~~ +08:00
-06200,+106817;asia/jakarta ~~~~~~~~~~~~~~~~~~~ +07:00
-02533,+140717;asia/jayapura ~~~~~~~~~~~~~~~~~~ +09:00
+31783,+035217;asia/jerusalem ~~~~~~~~~~~~~~~~~ z_245.
+34525,+069178;asia/kabul ~~~~~~~~~~~~~~~~~~~~~ +04:30
+56203,+162484;asia/kamchatka ~~~~~~~~~~~~~~~~~ +12:00
+24860,+067010;asia/karachi ~~~~~~~~~~~~~~~~~~~ +05:00
+27717,+085324;asia/kathmandu ~~~~~~~~~~~~~~~~~ +05:45
+63000,+137400;asia/khandyga ~~~~~~~~~~~~~~~~~~ +09:00
+22573,+088364;asia/kolkata ~~~~~~~~~~~~~~~~~~~ +05:30
+56009,+092872;asia/krasnoyarsk ~~~~~~~~~~~~~~~ +07:00
+03148,+101695;asia/kuala lumpur ~~~~~~~~~~~~~~ +08:00
+01561,+110342;asia/kuching ~~~~~~~~~~~~~~~~~~~ +08:00
+29370,+047978;asia/kuwait ~~~~~~~~~~~~~~~~~~~~ +03:00
+22167,+113550;asia/macau ~~~~~~~~~~~~~~~~~~~~~ +08:00
+59567,+150800;asia/magadan ~~~~~~~~~~~~~~~~~~~ +11:00
-05133,+119414;asia/makassar ~~~~~~~~~~~~~~~~~~ +08:00
+14596,+120977;asia/manila ~~~~~~~~~~~~~~~~~~~~ +08:00
+23589,+058408;asia/muscat ~~~~~~~~~~~~~~~~~~~~ +04:00
+35173,+033365;asia/nicosia ~~~~~~~~~~~~~~~~~~~ z_261.
+53767,+087133;asia/novokuznetsk ~~~~~~~~~~~~~~ +07:00
+55050,+082950;asia/novosibirsk ~~~~~~~~~~~~~~~ +07:00
+54983,+073367;asia/omsk ~~~~~~~~~~~~~~~~~~~~~~ +06:00
+51223,+051373;asia/oral ~~~~~~~~~~~~~~~~~~~~~~ +05:00
+11569,+104921;asia/phnom penh ~~~~~~~~~~~~~~~~ +07:00
-00021,+109341;asia/pontianak ~~~~~~~~~~~~~~~~~ +07:00
+39019,+125738;asia/pyongyang ~~~~~~~~~~~~~~~~~ +09:00
+25500,+051250;asia/qatar ~~~~~~~~~~~~~~~~~~~~~ +03:00
+53200,+063620;asia/qostanay ~~~~~~~~~~~~~~~~~~ +06:00
+44850,+065517;asia/qyzylorda ~~~~~~~~~~~~~~~~~ +05:00
+24633,+046717;asia/riyadh ~~~~~~~~~~~~~~~~~~~~ +03:00
+39700,+066983;asia/samarkand ~~~~~~~~~~~~~~~~~ +05:00
+51000,+143000;asia/sakhalin ~~~~~~~~~~~~~~~~~~ +11:00
+37560,+126990;asia/seoul ~~~~~~~~~~~~~~~~~~~~~ +09:00
+31229,+121475;asia/shanghai ~~~~~~~~~~~~~~~~~~ +08:00
+01283,+103833;asia/singapore ~~~~~~~~~~~~~~~~~ +08:00
+68000,+149000;asia/srednekolymsk ~~~~~~~~~~~~~ +11:00
+25067,+121517;asia/taipei ~~~~~~~~~~~~~~~~~~~~ +08:00
+41300,+069267;asia/tashkent ~~~~~~~~~~~~~~~~~~ +05:00
+41723,+044793;asia/tbilisi ~~~~~~~~~~~~~~~~~~~ +04:00
+35689,+051389;asia/tehran ~~~~~~~~~~~~~~~~~~~~ +03:30
+27472,+089636;asia/thimphu ~~~~~~~~~~~~~~~~~~~ +06:00
+35690,+139692;asia/tokyo ~~~~~~~~~~~~~~~~~~~~~ +09:00
+56500,+084967;asia/tomsk ~~~~~~~~~~~~~~~~~~~~~ +07:00
+47920,+106917;asia/ulaanbaatar ~~~~~~~~~~~~~~~ +08:00
+43823,+087613;asia/urumqi ~~~~~~~~~~~~~~~~~~~~ +06:00
+64583,+143250;asia/ust-nera ~~~~~~~~~~~~~~~~~~ +10:00
